,방송일시,노출(분),마더코드,상품코드,상품명,상품군,브랜드,판매단가,유동인구,취급액
0,1546322400000000000,20,100346,201072,1592,7,393,39900,8123838,2099000
1,1546322400000000000,20,100346,201079,1598,7,393,39900,8123838,4371000
2,1546323600000000000,20,100346,201072,1592,7,393,39900,8123838,3262000
3,1546323600000000000,20,100346,201079,1598,7,393,39900,8123838,6955000
4,1546324800000000000,20,100346,201072,1592,7,393,39900,8123838,6672000
5,1546324800000000000,20,100346,201079,1598,7,393,39900,8123838,9337000
6,1546326000000000000,20,100302,200974,1137,6,295,59000,8123838,6819000
7,1546327200000000000,20,100302,200974,1137,6,295,59000,8123838,15689000
8,1546328400000000000,20,100302,200974,1137,6,295,59000,8123838,25370000
9,1546329600000000000,20,100808,202377,182,7,9,59900,8123838,16133000
10,1546330800000000000,20,100808,202377,182,7,9,59900,8123838,30061000
11,1546332000000000000,20,100808,202377,182,7,9,59900,8123838,53542000
12,1546333200000000000,20,100814,202404,911,7,185,79000,8123838,16075000
13,1546334400000000000,20,100814,202404,911,7,185,79000,8123838,25628000
14,1546335600000000000,20,100814,202404,911,7,185,79000,8123838,49270000
15,1546336800000000000,20,100808,202395,193,7,9,79900,8123838,48799000
16,1546338000000000000,20,100808,202395,193,7,9,79900,8123838,97907000
17,1546339200000000000,20,100808,202395,193,7,9,79900,8123838,112972000
18,1546340400000000000,20,100664,201999,1561,6,384,69900,8123838,24531000
19,1546341600000000000,20,100664,201999,1561,6,384,69900,8123838,49829000
20,1546344000000000000,20,100086,200236,1081,10,275,60900,8123838,33823000
21,1546345200000000000,20,100086,200236,1081,10,275,60900,8123838,59083000
22,1546346400000000000,20,100086,200236,1081,10,275,60900,8123838,99235000
23,1546347600000000000,30,100302,200970,1133,6,295,109000,8123838,32273000
24,1546349400000000000,30,100302,200970,1133,6,295,109000,8123838,79273000
25,1546351200000000000,30,100377,201220,415,7,57,119000,8123838,11269000
